model,dataset,scoring,p1,p2,acc
KNeighborsClassifier,phishing,precision_macro,30,distance,0.84
KNeighborsClassifier,phishing,recall_macro,1,uniform,0.82
RandomForestClassifier,phishing,accuracy,None,100,0.89
RandomForestClassifier,phishing,precision_macro,None,100,0.89
RandomForestClassifier,phishing,recall_macro,None,10,0.86
MLPClassifier,phishing,accuracy,relu,0.001,0.85
MLPClassifier,phishing,precision_macro,identity,0.001,0.80
MLPClassifier,phishing,recall_macro,relu,0.001,0.75
SVC,wine,accuracy,1000,rbf,0.60
SVC,wine,precision_macro,1000,rbf,0.47
SVC,wine,recall_macro,1000,rbf,0.45
KNeighborsClassifier,wine,accuracy,30,distance,0.64
KNeighborsClassifier,wine,precision_macro,30,distance,0.51
KNeighborsClassifier,wine,recall_macro,30,distance,0.49
RandomForestClassifier,wine,accuracy,None,100,0.67
RandomForestClassifier,wine,precision_macro,None,50,0.54
RandomForestClassifier,wine,recall_macro,None,30,0.52
MLPClassifier,wine,accuracy,relu,0.001,0.61
MLPClassifier,wine,precision_macro,logistic,0.001,0.46
MLPClassifier,wine,recall_macro,relu,0.001,0.46
SVC,amazon,accuracy,1,linear,0.55
SVC,amazon,precision_macro,1,linear,0.55
SVC,amazon,recall_macro,1,linear,0.54
KNeighborsClassifier,amazon,accuracy,3,distance,0.21
KNeighborsClassifier,amazon,precision_macro,8,distance,0.23
KNeighborsClassifier,amazon,recall_macro,3,distance,0.21
RandomForestClassifier,amazon,accuracy,None,100,0.51
RandomForestClassifier,amazon,precision_macro,None,100,0.48
RandomForestClassifier,amazon,recall_macro,None,100,0.50
MLPClassifier,amazon,accuracy,logistic,1e-06,0.63
MLPClassifier,amazon,precision_macro,logistic,1e-05,0.66
MLPClassifier,amazon,recall_macro,logistic,0.001,0.64
SVC,congress,accuracy,1,linear,0.96
SVC,congress,precision_macro,100,poly,0.94
SVC,congress,recall_macro,1,linear,0.96
KNeighborsClassifier,congress,accuracy,1,uniform,0.92
KNeighborsClassifier,congress,precision_macro,1,uniform,0.92
KNeighborsClassifier,congress,recall_macro,5,uniform,0.93
RandomForestClassifier,congress,accuracy,None,50,0.97
RandomForestClassifier,congress,precision_macro,None,10,0.95
RandomForestClassifier,congress,recall_macro,None,100,0.96
MLPClassifier,congress,accuracy,relu,1e-06,0.96
MLPClassifier,congress,precision_macro,relu,1e-05,0.96
MLPClassifier,congress,recall_macro,relu,0.001,0.95
SVC,covertype,accuracy,1000,rbf,0.74
SVC,covertype,precision_macro,1000,rbf,0.69
SVC,covertype,recall_macro,1000,rbf,0.63
KNeighborsClassifier,covertype,accuracy,8,distance,0.69
KNeighborsClassifier,covertype,precision_macro,5,distance,0.65
KNeighborsClassifier,covertype,recall_macro,5,distance,0.60
RandomForestClassifier,covertype,accuracy,None,50,0.75
RandomForestClassifier,covertype,precision_macro,None,100,0.68
RandomForestClassifier,covertype,recall_macro,None,100,0.61
MLPClassifier,covertype,accuracy,relu,1e-05,0.71
MLPClassifier,covertype,precision_macro,relu,1e-06,0.63
MLPClassifier,covertype,recall_macro,relu,1e-05,0.62
SVC,kidney,accuracy,10,linear,0.99
SVC,kidney,precision_macro,1000,rbf,0.99
SVC,kidney,recall_macro,1000,rbf,0.99
KNeighborsClassifier,kidney,accuracy,1,uniform,0.99
KNeighborsClassifier,kidney,precision_macro,1,uniform,0.99
KNeighborsClassifier,kidney,recall_macro,1,uniform,1.00
RandomForestClassifier,kidney,accuracy,None,100,0.99
RandomForestClassifier,kidney,precision_macro,None,50,0.99
RandomForestClassifier,kidney,recall_macro,None,50,0.99
MLPClassifier,kidney,accuracy,relu,1e-06,0.99
MLPClassifier,kidney,precision_macro,relu,0.001,0.98
MLPClassifier,kidney,recall_macro,relu,1e-05,0.98
