@relation res

@attribute algs {(svm)_opt,(svm),(knn)_opt,(knn),(mnb)_opt,(mnb),(rf)_opt,(rf),(mlp)_opt,(mlp),(svm_knn_mnb)_w_opt,(svm_knn_mnb)_opt,(svm_knn_mnb)_w,(svm_knn_mnb),(svm_knn_rf)_w_opt,(svm_knn_rf)_opt,(svm_knn_rf)_w,(svm_knn_rf),(svm_knn_mlp)_w_opt,(svm_knn_mlp)_opt,(svm_knn_mlp)_w,(svm_knn_mlp),(svm_mnb_rf)_w_opt,(svm_mnb_rf)_opt,(svm_mnb_rf)_w,(svm_mnb_rf),(svm_mnb_mlp)_w_opt,(svm_mnb_mlp)_opt,(svm_mnb_mlp)_w,(svm_mnb_mlp),(svm_rf_mlp)_w_opt,(svm_rf_mlp)_opt,(svm_rf_mlp)_w,(svm_rf_mlp),(knn_mnb_rf)_w_opt,(knn_mnb_rf)_opt,(knn_mnb_rf)_w,(knn_mnb_rf),(knn_mnb_mlp)_w_opt,(knn_mnb_mlp)_opt,(knn_mnb_mlp)_w,(knn_mnb_mlp),(knn_rf_mlp)_w_opt,(knn_rf_mlp)_opt,(knn_rf_mlp)_w,(knn_rf_mlp),(mnb_rf_mlp)_w_opt,(mnb_rf_mlp)_opt,(mnb_rf_mlp)_w,(mnb_rf_mlp),(svm_knn_mnb_rf_mlp)_w_opt,(svm_knn_mnb_rf_mlp)_opt,(svm_knn_mnb_rf_mlp)_w,(svm_knn_mnb_rf_mlp)}
@attribute dataset {student,contraceptive,autism,bankruptcy,breast_cancer,horse,hr,english,phishing,wine,congress,covertype,kidney,amazon}
@attribute weighted {False,True}
@attribute optimized {True,False}
@attribute accuracy numeric
@attribute precision numeric
@attribute recall numeric
@attribute fscore numeric
@attribute cv_mean numeric
@attribute cv_std numeric
@attribute runtime numeric

@data
(svm_mnb_rf)_opt,kidney,False,True,0.99,0.98,0.99,0.99,0.97,0.03,0.37
(svm_mnb_rf)_w,kidney,True,False,0.97,0.97,0.98,0.97,0.97,0.03,0.1
(svm_mnb_rf),kidney,False,False,0.94,0.93,0.95,0.94,0.97,0.03,0.06
(svm_mnb_mlp)_w_opt,kidney,True,True,0.99,0.98,0.99,0.99,0.97,0.03,0.54
(svm_mnb_mlp)_opt,kidney,False,True,0.97,0.97,0.98,0.97,0.96,0.03,0.23
(svm_mnb_mlp)_w,kidney,True,False,0.99,0.99,0.99,0.99,0.97,0.03,0.61
(svm_mnb_mlp),kidney,False,False,0.97,0.97,0.98,0.97,0.97,0.03,0.22
(svm_rf_mlp)_w_opt,kidney,True,True,0.99,0.99,0.99,0.99,0.97,0.03,1.15
(svm_rf_mlp)_opt,kidney,False,True,1,1,1,1,0.97,0.03,0.59
(svm_rf_mlp)_w,kidney,True,False,0.97,0.97,0.98,0.97,0.97,0.03,0.62
(svm_rf_mlp),kidney,False,False,1,1,1,1,0.97,0.03,0.26
(knn_mnb_rf)_w_opt,kidney,True,True,0.99,0.98,0.99,0.99,0.97,0.03,0.62
(knn_mnb_rf)_opt,kidney,False,True,0.99,0.99,0.99,0.99,0.97,0.03,0.37
(knn_mnb_rf)_w,kidney,True,False,0.99,0.98,0.99,0.99,0.97,0.03,0.11
(knn_mnb_rf),kidney,False,False,0.96,0.95,0.97,0.96,0.97,0.03,0.07
(knn_mnb_mlp)_w_opt,kidney,True,True,0.97,0.97,0.98,0.97,0.97,0.03,0.69
(knn_mnb_mlp)_opt,kidney,False,True,1,1,1,1,0.97,0.03,0.23
(knn_mnb_mlp)_w,kidney,True,False,0.99,0.99,0.99,0.99,0.97,0.03,0.56
(knn_mnb_mlp),kidney,False,False,0.99,0.99,0.99,0.99,0.97,0.03,0.23
(knn_rf_mlp)_w_opt,kidney,True,True,0.99,0.99,0.99,0.99,0.97,0.03,1.21
(knn_rf_mlp)_opt,kidney,False,True,1,1,1,1,0.97,0.03,0.57
(knn_rf_mlp)_w,kidney,True,False,1,1,1,1,0.97,0.03,0.66
(knn_rf_mlp),kidney,False,False,0.95,0.94,0.96,0.95,0.97,0.03,0.27
(mnb_rf_mlp)_w_opt,kidney,True,True,0.99,0.98,0.99,0.99,0.97,0.03,1.14
(mnb_rf_mlp)_opt,kidney,False,True,0.96,0.96,0.97,0.96,0.97,0.03,0.56
(mnb_rf_mlp)_w,kidney,True,False,0.99,0.98,0.99,0.99,0.97,0.03,0.62
(mnb_rf_mlp),kidney,False,False,0.99,0.98,0.99,0.99,0.97,0.03,0.28
(svm_knn_mnb_rf_mlp)_w_opt,kidney,True,True,1,1,1,1,0.97,0.03,1.15
(svm_knn_mnb_rf_mlp)_opt,kidney,False,True,0.99,0.99,0.99,0.99,0.97,0.03,0.58
(svm_knn_mnb_rf_mlp)_w,kidney,True,False,0.97,0.97,0.98,0.97,0.97,0.03,0.65
(svm_knn_mnb_rf_mlp),kidney,False,False,1,1,1,1,0.97,0.03,0.29
(svm)_opt,amazon,False,True,0.59,0.62,0.6,0.56,0.55,0.02,3.67
(svm),amazon,False,False,0.01,0,0.02,0,0.57,0.03,3.64
(knn)_opt,amazon,False,True,0.21,0.27,0.21,0.2,0.55,0.02,1.09
(knn),amazon,False,False,0.21,0.35,0.18,0.19,0.54,0.02,1.06
(mnb)_opt,amazon,False,True,0.49,0.52,0.5,0.45,0.55,0.01,0.49
(mnb),amazon,False,False,0.49,0.58,0.52,0.48,0.54,0.01,0.49
(rf)_opt,amazon,False,True,0.62,0.65,0.61,0.58,0.55,0,1.91
(rf),amazon,False,False,0.24,0.19,0.25,0.21,0.56,0.02,0.64
(mlp)_opt,amazon,False,True,0.66,0.69,0.7,0.66,0.55,0.01,7.68
(mlp),amazon,False,False,0.67,0.73,0.71,0.67,0.54,0.02,7.91
(svm_knn_mnb)_w_opt,amazon,True,True,0.6,0.63,0.59,0.56,0.63,0.01,10.48
(svm_knn_mnb)_opt,amazon,False,True,0.53,0.55,0.53,0.49,0.55,0.02,4.25
(svm_knn_mnb)_w,amazon,True,False,0.53,0.64,0.59,0.55,0.64,0.01,10.51
(svm_knn_mnb),amazon,False,False,0.21,0.32,0.23,0.2,0.55,0.01,4.29
(svm_knn_rf)_w_opt,amazon,True,True,0.55,0.6,0.51,0.51,0.64,0.03,13.79
(svm_knn_rf)_opt,amazon,False,True,0.58,0.63,0.56,0.54,0.55,0.01,5.62
(svm_knn_rf)_w,amazon,True,False,0.29,0.27,0.32,0.25,0.64,0.01,11
(svm_knn_rf),amazon,False,False,0.15,0.21,0.15,0.14,0.54,0.01,4.4
(svm_knn_mlp)_w_opt,amazon,True,True,0.63,0.6,0.61,0.57,0.63,0.01,38.07
(svm_knn_mlp)_opt,amazon,False,True,0.57,0.58,0.57,0.53,0.54,0.02,12.15
(svm_knn_mlp)_w,amazon,True,False,0.65,0.66,0.66,0.61,0.64,0.02,39.26
(svm_knn_mlp),amazon,False,False,0.21,0.26,0.19,0.17,0.55,0,11.53
(svm_mnb_rf)_w_opt,amazon,True,True,0.66,0.65,0.65,0.6,0.63,0.02,11.81
(svm_mnb_rf)_opt,amazon,False,True,0.53,0.54,0.52,0.48,0.57,0.02,5.08
(svm_mnb_rf)_w,amazon,True,False,0.53,0.56,0.54,0.48,0.64,0.01,9.03
(svm_mnb_rf),amazon,False,False,0.28,0.3,0.29,0.25,0.55,0.01,3.84
(svm_mnb_mlp)_w_opt,amazon,True,True,0.64,0.64,0.65,0.59,0.63,0.01,36.49
(svm_mnb_mlp)_opt,amazon,False,True,0.61,0.65,0.62,0.58,0.55,0.02,11.27
(svm_mnb_mlp)_w,amazon,True,False,0.66,0.68,0.68,0.62,0.63,0.02,35.34
(svm_mnb_mlp),amazon,False,False,0.61,0.66,0.54,0.55,0.55,0.01,11.32
(svm_rf_mlp)_w_opt,amazon,True,True,0.69,0.68,0.68,0.65,0.64,0.01,39.67
(svm_rf_mlp)_opt,amazon,False,True,0.59,0.58,0.58,0.53,0.54,0.01,12.71
(svm_rf_mlp)_w,amazon,True,False,0.66,0.63,0.64,0.6,0.64,0.01,37.34
(svm_rf_mlp),amazon,False,False,0.38,0.4,0.39,0.33,0.56,0.01,11.84
(knn_mnb_rf)_w_opt,amazon,True,True,0.57,0.51,0.53,0.48,0.65,0.01,5.8
(knn_mnb_rf)_opt,amazon,False,True,0.56,0.54,0.53,0.49,0.53,0.02,2.56
(knn_mnb_rf)_w,amazon,True,False,0.51,0.57,0.54,0.47,0.63,0.02,2.85
(knn_mnb_rf),amazon,False,False,0.28,0.4,0.31,0.29,0.55,0.02,1.24
(knn_mnb_mlp)_w_opt,amazon,True,True,0.65,0.67,0.66,0.64,0.62,0.01,29.49
(knn_mnb_mlp)_opt,amazon,False,True,0.58,0.59,0.54,0.49,0.55,0.02,8.59
(knn_mnb_mlp)_w,amazon,True,False,0.62,0.71,0.68,0.64,0.64,0.01,30.35
(knn_mnb_mlp),amazon,False,False,0.53,0.64,0.53,0.52,0.55,0.02,8.48
(knn_rf_mlp)_w_opt,amazon,True,True,0.61,0.63,0.61,0.58,0.64,0.03,33.35
(knn_rf_mlp)_opt,amazon,False,True,0.64,0.64,0.59,0.58,0.55,0.01,10.23
(knn_rf_mlp)_w,amazon,True,False,0.67,0.68,0.64,0.61,0.63,0.01,31.34
(knn_rf_mlp),amazon,False,False,0.3,0.38,0.3,0.28,0.54,0,8.9
(mnb_rf_mlp)_w_opt,amazon,True,True,0.71,0.68,0.67,0.64,0.63,0.03,31.36
(mnb_rf_mlp)_opt,amazon,False,True,0.64,0.62,0.62,0.57,0.56,0.02,9.13
(mnb_rf_mlp)_w,amazon,True,False,0.62,0.64,0.64,0.59,0.63,0.01,28.58
(mnb_rf_mlp),amazon,False,False,0.61,0.64,0.64,0.6,0.56,0.01,8.25
(svm_knn_mnb_rf_mlp)_w_opt,amazon,True,True,0.65,0.64,0.65,0.6,0.63,0.01,47.86
(svm_knn_mnb_rf_mlp)_opt,amazon,False,True,0.62,0.62,0.63,0.57,0.53,0.01,12.84
(svm_knn_mnb_rf_mlp)_w,amazon,True,False,0.7,0.71,0.7,0.67,0.64,0.02,37.9
(svm_knn_mnb_rf_mlp),amazon,False,False,0.51,0.57,0.49,0.48,0.55,0.02,12.34
(svm)_opt,student,False,True,0.78,0.71,0.62,0.64,0.49,0.14,0.04
(svm),student,False,False,0.56,0.09,0.17,0.12,0.48,0.15,0.03
(knn)_opt,student,False,True,0.5,0.27,0.23,0.23,0.49,0.13,0.05
(knn),student,False,False,0.54,0.3,0.24,0.25,0.49,0.15,0.04
(mnb)_opt,student,False,True,0.57,0.14,0.18,0.14,0.48,0.15,0.01
(mnb),student,False,False,0.58,0.1,0.16,0.12,0.5,0.15,0.01
(rf)_opt,student,False,True,0.98,0.98,0.86,0.9,0.49,0.15,0.54
(rf),student,False,False,0.94,0.95,0.82,0.87,0.49,0.15,0.08
(mlp)_opt,student,False,True,0.59,0.32,0.35,0.33,0.49,0.15,0.38
(mlp),student,False,False,0.63,0.49,0.34,0.36,0.49,0.15,0.36
(svm_knn_mnb)_w_opt,student,True,True,0.69,0.74,0.47,0.55,0.51,0.13,0.13
(svm_knn_mnb)_opt,student,False,True,0.57,0.6,0.38,0.41,0.49,0.14,0.08
(svm_knn_mnb)_w,student,True,False,0.51,0.09,0.16,0.11,0.52,0.14,0.12
(svm_knn_mnb),student,False,False,0.54,0.17,0.18,0.14,0.48,0.15,0.07
(svm_knn_rf)_w_opt,student,True,True,0.88,0.9,0.71,0.77,0.5,0.15,0.95
(svm_knn_rf)_opt,student,False,True,0.91,0.86,0.76,0.78,0.5,0.14,0.62
(svm_knn_rf)_w,student,True,False,0.69,0.61,0.36,0.41,0.5,0.16,0.21
(svm_knn_rf),student,False,False,0.61,0.35,0.25,0.24,0.48,0.15,0.14
(svm_knn_mlp)_w_opt,student,True,True,0.71,0.59,0.48,0.52,0.5,0.15,1.21
(svm_knn_mlp)_opt,student,False,True,0.7,0.47,0.42,0.43,0.49,0.15,0.44
(svm_knn_mlp)_w,student,True,False,0.61,0.35,0.25,0.25,0.51,0.16,1.22
(svm_knn_mlp),student,False,False,0.62,0.51,0.24,0.23,0.49,0.14,0.46
(svm_mnb_rf)_w_opt,student,True,True,0.92,0.95,0.81,0.86,0.51,0.16,0.96
(svm_mnb_rf)_opt,student,False,True,0.88,0.82,0.72,0.74,0.47,0.17,0.61
(svm_mnb_rf)_w,student,True,False,0.47,0.08,0.17,0.11,0.49,0.15,0.18
(svm_mnb_rf),student,False,False,0.62,0.19,0.18,0.15,0.49,0.15,0.11
(svm_mnb_mlp)_w_opt,student,True,True,0.73,0.69,0.51,0.54,0.49,0.17,1.21
(svm_mnb_mlp)_opt,student,False,True,0.62,0.48,0.36,0.38,0.48,0.15,0.41
(svm_mnb_mlp)_w,student,True,False,0.54,0.13,0.17,0.14,0.5,0.14,1.19
(svm_mnb_mlp),student,False,False,0.52,0.14,0.17,0.13,0.48,0.16,0.43
(svm_rf_mlp)_w_opt,student,True,True,0.88,0.9,0.76,0.8,0.5,0.14,2.32
(svm_rf_mlp)_opt,student,False,True,0.87,0.9,0.73,0.79,0.48,0.14,1.14
(svm_rf_mlp)_w,student,True,False,0.84,0.91,0.74,0.8,0.51,0.14,1.32
(svm_rf_mlp),student,False,False,0.7,0.48,0.38,0.39,0.47,0.17,0.46
(knn_mnb_rf)_w_opt,student,True,True,0.75,0.89,0.53,0.63,0.49,0.16,0.86
(knn_mnb_rf)_opt,student,False,True,0.71,0.7,0.35,0.4,0.47,0.15,0.6
(knn_mnb_rf)_w,student,True,False,0.68,0.75,0.48,0.52,0.49,0.16,0.17
(knn_mnb_rf),student,False,False,0.69,0.85,0.54,0.57,0.49,0.14,0.12
(knn_mnb_mlp)_w_opt,student,True,True,0.62,0.34,0.27,0.28,0.49,0.15,1.16
(knn_mnb_mlp)_opt,student,False,True,0.56,0.4,0.29,0.3,0.48,0.15,0.42
(knn_mnb_mlp)_w,student,True,False,0.58,0.55,0.29,0.32,0.49,0.16,1.24
(knn_mnb_mlp),student,False,False,0.52,0.18,0.2,0.17,0.49,0.16,0.61
(knn_rf_mlp)_w_opt,student,True,True,0.83,0.53,0.55,0.53,0.5,0.14,2.01
(knn_rf_mlp)_opt,student,False,True,0.75,0.67,0.64,0.62,0.49,0.14,0.99
(knn_rf_mlp)_w,student,True,False,0.75,0.7,0.56,0.6,0.51,0.15,1.25
(knn_rf_mlp),student,False,False,0.81,0.86,0.63,0.7,0.48,0.15,0.48
(mnb_rf_mlp)_w_opt,student,True,True,0.88,0.96,0.8,0.85,0.5,0.16,1.91
(mnb_rf_mlp)_opt,student,False,True,0.7,0.57,0.42,0.45,0.49,0.15,0.91
(mnb_rf_mlp)_w,student,True,False,0.77,0.91,0.61,0.69,0.51,0.15,1.2
(mnb_rf_mlp),student,False,False,0.78,0.65,0.55,0.55,0.49,0.14,0.44
(svm_knn_mnb_rf_mlp)_w_opt,student,True,True,0.85,0.68,0.57,0.57,0.5,0.15,2.02
(svm_knn_mnb_rf_mlp)_opt,student,False,True,0.72,0.81,0.63,0.68,0.49,0.14,0.98
(svm_knn_mnb_rf_mlp)_w,student,True,False,0.62,0.5,0.31,0.33,0.5,0.15,1.3
(svm_knn_mnb_rf_mlp),student,False,False,0.63,0.67,0.29,0.32,0.49,0.15,0.5
(svm)_opt,contraceptive,False,True,0.52,0.49,0.49,0.49,0.52,0.01,0.18
(svm),contraceptive,False,False,0.53,0.53,0.51,0.51,0.52,0.01,0.06
(knn)_opt,contraceptive,False,True,0.44,0.43,0.43,0.43,0.52,0.01,0.08
(knn),contraceptive,False,False,0.46,0.44,0.45,0.44,0.52,0.01,0.08
(mnb)_opt,contraceptive,False,True,0.46,0.47,0.36,0.31,0.52,0.01,0.02
(mnb),contraceptive,False,False,0.41,0.14,0.33,0.19,0.53,0.01,0.02
(rf)_opt,contraceptive,False,True,0.51,0.48,0.48,0.48,0.53,0,1.13
(rf),contraceptive,False,False,0.54,0.52,0.52,0.51,0.53,0.01,0.15
(mlp)_opt,contraceptive,False,True,0.54,0.59,0.53,0.52,0.53,0.01,0.38
(mlp),contraceptive,False,False,0.57,0.54,0.53,0.52,0.52,0.01,0.55
(svm_knn_mnb)_w_opt,contraceptive,True,True,0.55,0.52,0.51,0.51,0.53,0.02,0.56
(svm_knn_mnb)_opt,contraceptive,False,True,0.49,0.46,0.43,0.42,0.52,0.01,0.3
(svm_knn_mnb)_w,contraceptive,True,False,0.5,0.45,0.43,0.43,0.53,0.01,0.24
(svm_knn_mnb),contraceptive,False,False,0.46,0.47,0.4,0.36,0.52,0,0.15
(svm_knn_rf)_w_opt,contraceptive,True,True,0.51,0.5,0.49,0.49,0.52,0.01,2.02
(svm_knn_rf)_opt,contraceptive,False,True,0.5,0.47,0.47,0.47,0.52,0.01,1.46
(svm_knn_rf)_w,contraceptive,True,False,0.49,0.48,0.47,0.47,0.52,0.01,0.47
(svm_knn_rf),contraceptive,False,False,0.52,0.53,0.49,0.49,0.52,0,0.32
(svm_knn_mlp)_w_opt,contraceptive,True,True,0.49,0.47,0.45,0.45,0.53,0.02,2.38
(svm_knn_mlp)_opt,contraceptive,False,True,0.56,0.54,0.52,0.52,0.52,0.01,0.65
(svm_knn_mlp)_w,contraceptive,True,False,0.51,0.51,0.48,0.48,0.52,0.02,2.13
(svm_knn_mlp),contraceptive,False,False,0.53,0.54,0.48,0.48,0.52,0.01,0.71
(svm_mnb_rf)_w_opt,contraceptive,True,True,0.58,0.61,0.53,0.54,0.53,0.01,1.99
(svm_mnb_rf)_opt,contraceptive,False,True,0.54,0.49,0.47,0.46,0.52,0.01,1.32
(svm_mnb_rf)_w,contraceptive,True,False,0.48,0.45,0.42,0.4,0.54,0.02,0.33
(svm_mnb_rf),contraceptive,False,False,0.49,0.47,0.44,0.43,0.53,0,0.22
(svm_mnb_mlp)_w_opt,contraceptive,True,True,0.54,0.52,0.51,0.51,0.52,0.01,2.19
(svm_mnb_mlp)_opt,contraceptive,False,True,0.52,0.51,0.48,0.48,0.52,0.01,0.69
(svm_mnb_mlp)_w,contraceptive,True,False,0.49,0.47,0.46,0.46,0.53,0,2.02
(svm_mnb_mlp),contraceptive,False,False,0.54,0.5,0.49,0.49,0.53,0.01,0.61
(svm_rf_mlp)_w_opt,contraceptive,True,True,0.53,0.51,0.51,0.51,0.53,0.02,3.59
(svm_rf_mlp)_opt,contraceptive,False,True,0.53,0.51,0.5,0.5,0.52,0.01,1.8
(svm_rf_mlp)_w,contraceptive,True,False,0.53,0.53,0.5,0.51,0.53,0.01,2.26
(svm_rf_mlp),contraceptive,False,False,0.53,0.54,0.49,0.49,0.52,0.01,0.63
(knn_mnb_rf)_w_opt,contraceptive,True,True,0.53,0.48,0.47,0.47,0.54,0.02,1.63
(knn_mnb_rf)_opt,contraceptive,False,True,0.47,0.45,0.43,0.42,0.52,0.01,1.23
(knn_mnb_rf)_w,contraceptive,True,False,0.48,0.5,0.45,0.43,0.53,0.01,0.31
(knn_mnb_rf),contraceptive,False,False,0.48,0.49,0.44,0.42,0.52,0.01,0.25
(knn_mnb_mlp)_w_opt,contraceptive,True,True,0.5,0.51,0.46,0.45,0.53,0.02,1.74
(knn_mnb_mlp)_opt,contraceptive,False,True,0.48,0.55,0.45,0.42,0.52,0.01,0.63
(knn_mnb_mlp)_w,contraceptive,True,False,0.54,0.55,0.51,0.5,0.52,0.02,2.09
(knn_mnb_mlp),contraceptive,False,False,0.48,0.5,0.44,0.42,0.52,0.01,0.66
(knn_rf_mlp)_w_opt,contraceptive,True,True,0.54,0.53,0.51,0.52,0.53,0.01,3.54
(knn_rf_mlp)_opt,contraceptive,False,True,0.48,0.48,0.47,0.46,0.53,0.01,1.92
(knn_rf_mlp)_w,contraceptive,True,False,0.52,0.51,0.5,0.49,0.53,0.01,2.1
(knn_rf_mlp),contraceptive,False,False,0.53,0.51,0.5,0.51,0.52,0,0.73
(mnb_rf_mlp)_w_opt,contraceptive,True,True,0.56,0.56,0.51,0.51,0.53,0.02,3.21
(mnb_rf_mlp)_opt,contraceptive,False,True,0.47,0.46,0.43,0.41,0.53,0.01,1.81
(mnb_rf_mlp)_w,contraceptive,True,False,0.57,0.55,0.52,0.52,0.53,0.01,1.99
(mnb_rf_mlp),contraceptive,False,False,0.52,0.55,0.46,0.45,0.52,0.01,0.64
(svm_knn_mnb_rf_mlp)_w_opt,contraceptive,True,True,0.58,0.57,0.54,0.55,0.54,0.01,3.89
(svm_knn_mnb_rf_mlp)_opt,contraceptive,False,True,0.55,0.52,0.51,0.52,0.52,0,1.73
(svm_knn_mnb_rf_mlp)_w,contraceptive,True,False,0.52,0.51,0.48,0.48,0.53,0.01,2.39
(svm_knn_mnb_rf_mlp),contraceptive,False,False,0.54,0.53,0.5,0.49,0.52,0,0.77
(svm)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.02
(svm),autism,False,False,0.95,0.96,0.93,0.94,0.98,0.01,0.02
(knn)_opt,autism,False,True,0.95,0.92,0.95,0.94,0.98,0.01,0.04
(knn),autism,False,False,0.96,0.97,0.95,0.96,0.98,0.01,0.04
(mnb)_opt,autism,False,True,0.87,0.87,0.8,0.83,0.98,0.01,0.01
(mnb),autism,False,False,0.86,0.87,0.8,0.82,0.98,0.01,0.01
(rf)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.56
(rf),autism,False,False,1,1,1,1,0.98,0.01,0.08
(mlp)_opt,autism,False,True,0.96,0.95,0.95,0.95,0.98,0.01,0.35
(mlp),autism,False,False,0.98,0.97,0.98,0.98,0.98,0.01,0.34
(svm_knn_mnb)_w_opt,autism,True,True,1,1,1,1,0.98,0.01,0.08
(svm_knn_mnb)_opt,autism,False,True,0.98,0.98,0.97,0.98,0.98,0.01,0.06
(svm_knn_mnb)_w,autism,True,False,0.96,0.94,0.94,0.94,0.98,0.01,0.08
(svm_knn_mnb),autism,False,False,0.94,0.93,0.9,0.91,0.98,0.01,0.06
(svm_knn_rf)_w_opt,autism,True,True,1,1,1,1,0.98,0.01,0.91
(svm_knn_rf)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.67
(svm_knn_rf)_w,autism,True,False,0.99,0.99,1,0.99,0.98,0.01,0.19
(svm_knn_rf),autism,False,False,0.98,0.97,0.96,0.97,0.98,0.01,0.13
(svm_knn_mlp)_w_opt,autism,True,True,0.99,1,0.98,0.99,0.98,0.01,1.11
(svm_knn_mlp)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.4
(svm_knn_mlp)_w,autism,True,False,1,1,1,1,0.98,0.01,1.15
(svm_knn_mlp),autism,False,False,0.98,0.97,0.98,0.97,0.98,0.01,0.4
(svm_mnb_rf)_w_opt,autism,True,True,1,1,1,1,0.98,0.01,0.86
(svm_mnb_rf)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.58
(svm_mnb_rf)_w,autism,True,False,0.99,1,0.98,0.99,0.98,0.01,0.13
(svm_mnb_rf),autism,False,False,0.97,0.98,0.95,0.96,0.98,0.01,0.09
(svm_mnb_mlp)_w_opt,autism,True,True,0.98,0.98,0.97,0.97,0.98,0.01,1.02
(svm_mnb_mlp)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.35
(svm_mnb_mlp)_w,autism,True,False,0.96,0.97,0.94,0.95,0.98,0.01,1.05
(svm_mnb_mlp),autism,False,False,0.96,0.94,0.94,0.94,0.98,0.01,0.36
(svm_rf_mlp)_w_opt,autism,True,True,1,1,1,1,0.98,0.01,1.83
(svm_rf_mlp)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.91
(svm_rf_mlp)_w,autism,True,False,0.99,0.99,0.97,0.98,0.98,0.01,1.18
(svm_rf_mlp),autism,False,False,0.99,0.98,0.99,0.98,0.97,0.01,0.45
(knn_mnb_rf)_w_opt,autism,True,True,0.98,0.97,0.98,0.98,0.98,0.01,0.88
(knn_mnb_rf)_opt,autism,False,True,1,1,1,1,0.98,0.01,0.62
(knn_mnb_rf)_w,autism,True,False,0.96,0.95,0.96,0.95,0.98,0.01,0.19
(knn_mnb_rf),autism,False,False,0.99,0.98,0.98,0.98,0.98,0.01,0.12
(knn_mnb_mlp)_w_opt,autism,True,True,0.96,0.97,0.95,0.96,0.98,0.01,1.09
(knn_mnb_mlp)_opt,autism,False,True,0.95,0.95,0.92,0.93,0.98,0.01,0.38
(knn_mnb_mlp)_w,autism,True,False,0.96,0.93,0.95,0.94,0.98,0.01,1.07
(knn_mnb_mlp),autism,False,False,0.89,0.87,0.88,0.88,0.98,0.01,0.39
(knn_rf_mlp)_w_opt,autism,True,True,0.99,1,0.99,0.99,0.98,0.01,1.9
(knn_rf_mlp)_opt,autism,False,True,0.99,0.98,0.99,0.98,0.98,0.01,0.96
(knn_rf_mlp)_w,autism,True,False,1,1,1,1,0.98,0.01,1.16
(knn_rf_mlp),autism,False,False,0.99,0.99,0.99,0.99,0.98,0.01,0.44
(mnb_rf_mlp)_w_opt,autism,True,True,0.99,0.97,0.99,0.98,0.98,0.01,1.8
(mnb_rf_mlp)_opt,autism,False,True,0.99,1,0.98,0.99,0.98,0.01,0.89
(mnb_rf_mlp)_w,autism,True,False,0.99,0.98,0.99,0.98,0.98,0.01,1.1
(mnb_rf_mlp),autism,False,False,0.98,0.99,0.96,0.97,0.98,0.01,0.42
(svm_knn_mnb_rf_mlp)_w_opt,autism,True,True,1,1,1,1,0.98,0.01,1.99
(svm_knn_mnb_rf_mlp)_opt,autism,False,True,0.98,0.98,0.97,0.97,0.98,0.01,1.02
(svm_knn_mnb_rf_mlp)_w,autism,True,False,0.98,0.98,0.97,0.97,0.98,0.01,1.18
(svm_knn_mnb_rf_mlp),autism,False,False,0.99,0.98,0.98,0.98,0.98,0.01,0.47
(svm)_opt,bankruptcy,False,True,1,1,1,1,0.95,0.02,0.01
(svm),bankruptcy,False,False,0.92,0.93,0.92,0.92,0.96,0.03,0.01
(knn)_opt,bankruptcy,False,True,1,1,1,1,0.95,0.02,0.02
(knn),bankruptcy,False,False,1,1,1,1,0.96,0.03,0.02
(mnb)_opt,bankruptcy,False,True,0.58,0.29,0.5,0.37,0.95,0.02,0.01
(mnb),bankruptcy,False,False,0.54,0.27,0.5,0.35,0.96,0.02,0.01
(rf)_opt,bankruptcy,False,True,1,1,1,1,0.96,0.02,0.25
(rf),bankruptcy,False,False,0.98,0.98,0.98,0.98,0.96,0.02,0.04
(mlp)_opt,bankruptcy,False,True,0.9,0.9,0.89,0.89,0.96,0.02,0.12
(mlp),bankruptcy,False,False,0.94,0.93,0.94,0.94,0.95,0.01,0.12
(svm_knn_mnb)_w_opt,bankruptcy,True,True,0.98,0.98,0.97,0.98,0.95,0.02,0.04
(svm_knn_mnb)_opt,bankruptcy,False,True,1,1,1,1,0.95,0.02,0.02
(svm_knn_mnb)_w,bankruptcy,True,False,1,1,1,1,0.96,0.02,0.03
(svm_knn_mnb),bankruptcy,False,False,0.94,0.93,0.95,0.94,0.95,0.02,0.02
(svm_knn_rf)_w_opt,bankruptcy,True,True,1,1,1,1,0.96,0.02,0.48
(svm_knn_rf)_opt,bankruptcy,False,True,0.98,0.98,0.98,0.98,0.96,0.02,0.26
(svm_knn_rf)_w,bankruptcy,True,False,1,1,1,1,0.96,0.02,0.09
(svm_knn_rf),bankruptcy,False,False,1,1,1,1,0.95,0.02,0.05
(svm_knn_mlp)_w_opt,bankruptcy,True,True,1,1,1,1,0.96,0.02,0.41
(svm_knn_mlp)_opt,bankruptcy,False,True,0.98,0.98,0.98,0.98,0.96,0.02,0.13
(svm_knn_mlp)_w,bankruptcy,True,False,0.94,0.93,0.95,0.94,0.96,0.02,0.41
(svm_knn_mlp),bankruptcy,False,False,0.96,0.95,0.97,0.96,0.96,0.02,0.16
(svm_mnb_rf)_w_opt,bankruptcy,True,True,1,1,1,1,0.95,0.02,0.58
