algs,dataset,weighted,optimized,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
(mnb)_opt,contraceptive,False,True,0.43,0.28,0.34,0.23,0.51,0.00,0.02
(mnb),contraceptive,False,False,0.46,0.27,0.36,0.29,0.51,0.01,0.01
(rf)_opt,contraceptive,False,True,0.57,0.54,0.55,0.55,0.52,0.00,1.15
(rf),contraceptive,False,False,0.52,0.50,0.49,0.49,0.53,0.00,0.16
(mlp)_opt,contraceptive,False,True,0.54,0.52,0.52,0.52,0.53,0.01,0.64
(mlp),contraceptive,False,False,0.56,0.53,0.52,0.52,0.52,0.00,0.65
(svm_knn_mnb)_w_opt,contraceptive,True,True,0.46,0.43,0.42,0.42,0.53,0.01,0.58
(svm_knn_mnb)_opt,contraceptive,False,True,0.56,0.53,0.49,0.50,0.52,0.00,0.27
(svm_knn_mnb)_w,contraceptive,True,False,0.44,0.30,0.37,0.31,0.53,0.02,0.23
(svm_knn_mnb),contraceptive,False,False,0.49,0.49,0.42,0.42,0.51,0.01,0.15
(svm_knn_rf)_w_opt,contraceptive,True,True,0.54,0.50,0.50,0.50,0.53,0.01,2.07
(svm_knn_rf)_opt,contraceptive,False,True,0.55,0.54,0.52,0.52,0.52,0.01,1.44
(svm_knn_rf)_w,contraceptive,True,False,0.53,0.51,0.49,0.49,0.52,0.01,0.42
(svm_knn_rf),contraceptive,False,False,0.52,0.52,0.49,0.50,0.53,0.01,0.29
(svm_knn_mlp)_w_opt,contraceptive,True,True,0.53,0.49,0.48,0.48,0.53,0.01,2.42
(svm_knn_mlp)_opt,contraceptive,False,True,0.56,0.55,0.53,0.53,0.52,0.00,0.77
(svm_knn_mlp)_w,contraceptive,True,False,0.47,0.49,0.45,0.45,0.52,0.01,2.08
(svm_knn_mlp),contraceptive,False,False,0.53,0.49,0.48,0.48,0.52,0.01,0.61
(svm_mnb_rf)_w_opt,contraceptive,True,True,0.54,0.53,0.50,0.51,0.53,0.00,1.95
(svm_mnb_rf)_opt,contraceptive,False,True,0.52,0.51,0.46,0.46,0.53,0.00,1.32
(svm_mnb_rf)_w,contraceptive,True,False,0.45,0.45,0.40,0.37,0.53,0.01,0.33
(svm_mnb_rf),contraceptive,False,False,0.55,0.56,0.48,0.47,0.53,0.01,0.22
(svm_mnb_mlp)_w_opt,contraceptive,True,True,0.51,0.50,0.49,0.48,0.53,0.02,1.89
(svm_mnb_mlp)_opt,contraceptive,False,True,0.49,0.47,0.45,0.45,0.52,0.01,0.82
(svm_mnb_mlp)_w,contraceptive,True,False,0.48,0.45,0.44,0.44,0.53,0.01,1.80
(svm_mnb_mlp),contraceptive,False,False,0.49,0.50,0.44,0.41,0.53,0.00,0.72
(svm_rf_mlp)_w_opt,contraceptive,True,True,0.54,0.53,0.51,0.51,0.54,0.01,3.62
(svm_rf_mlp)_opt,contraceptive,False,True,0.56,0.55,0.52,0.51,0.52,0.00,1.60
(svm_rf_mlp)_w,contraceptive,True,False,0.52,0.54,0.50,0.50,0.53,0.01,2.07
(svm_rf_mlp),contraceptive,False,False,0.48,0.49,0.44,0.42,0.52,0.01,0.72
(knn_mnb_rf)_w_opt,contraceptive,True,True,0.48,0.45,0.45,0.45,0.53,0.01,1.58
(knn_mnb_rf)_opt,contraceptive,False,True,0.46,0.44,0.42,0.40,0.52,0.01,1.24
(knn_mnb_rf)_w,contraceptive,True,False,0.52,0.49,0.46,0.45,0.54,0.01,0.31
(knn_mnb_rf),contraceptive,False,False,0.47,0.45,0.42,0.41,0.52,0.01,0.24
(knn_mnb_mlp)_w_opt,contraceptive,True,True,0.51,0.48,0.46,0.46,0.53,0.01,1.98
(knn_mnb_mlp)_opt,contraceptive,False,True,0.51,0.55,0.47,0.44,0.52,0.01,0.63
(knn_mnb_mlp)_w,contraceptive,True,False,0.51,0.52,0.47,0.47,0.53,0.01,1.84
(knn_mnb_mlp),contraceptive,False,False,0.52,0.58,0.45,0.44,0.51,0.00,0.80
(knn_rf_mlp)_w_opt,contraceptive,True,True,0.51,0.49,0.49,0.49,0.53,0.02,3.73
(knn_rf_mlp)_opt,contraceptive,False,True,0.46,0.45,0.45,0.44,0.52,0.00,1.84
(knn_rf_mlp)_w,contraceptive,True,False,0.57,0.55,0.53,0.53,0.53,0.01,2.16
(knn_rf_mlp),contraceptive,False,False,0.57,0.55,0.54,0.54,0.52,0.01,0.70
(mnb_rf_mlp)_w_opt,contraceptive,True,True,0.54,0.51,0.50,0.50,0.53,0.02,3.43
(mnb_rf_mlp)_opt,contraceptive,False,True,0.57,0.58,0.52,0.53,0.52,0.01,1.78
(mnb_rf_mlp)_w,contraceptive,True,False,0.53,0.51,0.49,0.49,0.53,0.01,1.92
(mnb_rf_mlp),contraceptive,False,False,0.44,0.52,0.43,0.39,0.51,0.01,0.75
(svm_knn_mnb_rf_mlp)_w_opt,contraceptive,True,True,0.53,0.49,0.48,0.48,0.53,0.01,4.15
(svm_knn_mnb_rf_mlp)_opt,contraceptive,False,True,0.58,0.55,0.55,0.55,0.52,0.01,2.35
(svm_knn_mnb_rf_mlp)_w,contraceptive,True,False,0.49,0.47,0.46,0.45,0.53,0.01,2.30
(svm_knn_mnb_rf_mlp),contraceptive,False,False,0.51,0.49,0.47,0.46,0.53,0.01,0.94
(svm)_opt,autism,False,True,1.00,1.00,1.00,1.00,0.98,0.01,0.02
(svm),autism,False,False,0.98,0.98,0.97,0.98,0.98,0.01,0.02
(knn)_opt,autism,False,True,0.94,0.92,0.93,0.93,0.98,0.01,0.04
(knn),autism,False,False,0.96,0.96,0.95,0.95,0.98,0.01,0.06
(mnb)_opt,autism,False,True,0.87,0.83,0.82,0.82,0.98,0.01,0.01
(mnb),autism,False,False,0.89,0.90,0.86,0.87,0.98,0.01,0.01
(rf)_opt,autism,False,True,1.00,1.00,1.00,1.00,0.98,0.01,0.59
(rf),autism,False,False,1.00,1.00,1.00,1.00,0.98,0.01,0.08
(mlp)_opt,autism,False,True,0.96,0.95,0.97,0.96,0.98,0.01,0.35
(mlp),autism,False,False,0.96,0.94,0.98,0.96,0.98,0.01,0.34
(svm_knn_mnb)_w_opt,autism,True,True,0.99,0.99,1.00,0.99,0.98,0.01,0.08
(svm_knn_mnb)_opt,autism,False,True,0.97,0.95,0.97,0.96,0.98,0.01,0.06
(svm_knn_mnb)_w,autism,True,False,0.96,0.98,0.94,0.96,0.98,0.01,0.08
(svm_knn_mnb),autism,False,False,0.95,0.95,0.94,0.94,0.98,0.01,0.06
(svm_knn_rf)_w_opt,autism,True,True,1.00,1.00,1.00,1.00,0.98,0.01,0.86
(svm_knn_rf)_opt,autism,False,True,1.00,1.00,1.00,1.00,0.98,0.01,0.61
(svm_knn_rf)_w,autism,True,False,1.00,1.00,1.00,1.00,0.98,0.01,0.17
(svm_knn_rf),autism,False,False,0.99,0.99,1.00,0.99,0.98,0.01,0.17
(svm_knn_mlp)_w_opt,autism,True,True,1.00,1.00,1.00,1.00,0.98,0.01,1.13
(svm_knn_mlp)_opt,autism,False,True,0.99,0.98,1.00,0.99,0.98,0.01,0.44
(svm_knn_mlp)_w,autism,True,False,0.97,0.96,0.96,0.96,0.98,0.01,1.07
(svm_knn_mlp),autism,False,False,0.99,0.98,0.98,0.98,0.98,0.01,0.39
(svm_mnb_rf)_w_opt,autism,True,True,1.00,1.00,1.00,1.00,0.98,0.01,0.81
(svm_mnb_rf)_opt,autism,False,True,1.00,1.00,1.00,1.00,0.98,0.01,0.57
(svm_mnb_rf)_w,autism,True,False,0.98,0.99,0.96,0.97,0.97,0.01,0.13
(svm_mnb_rf),autism,False,False,0.98,0.99,0.96,0.97,0.98,0.01,0.09
(svm_mnb_mlp)_w_opt,autism,True,True,0.93,0.92,0.89,0.90,0.98,0.01,1.03
(svm_mnb_mlp)_opt,autism,False,True,0.97,0.96,0.97,0.97,0.98,0.01,0.35
(svm_mnb_mlp)_w,autism,True,False,0.96,0.95,0.96,0.95,0.98,0.01,1.02
